Variable,Rank_Coef,Rank_P_Value,Judge_Coef,Judge_P_Value,Fan_Coef,Fan_P_Value
Age,-0.36209851508162794,0.0014942454700684494,-0.5041248093894265,3.275682346837816e-06,-0.1619173170488074,0.1646749657138932
IDPI,0.018055086922317387,0.914249571942729,0.12457141738047044,0.43102139116136273,0.3288605279905523,0.05686068180221514
Log_Pop,-0.08092110862603802,0.07625144078190586,-0.0819091979190777,0.05714849472377458,-0.07888326694469355,0.09250011095297635
Log_Followers,0.14310726666768334,0.0031956208842063307,0.3572757745118832,4.0747591574710553e-14,0.07474270358514765,0.1323316079505106
Partner_Avg_Rank,-0.12020970313163104,0.47336954896781275,0.16564117174152854,0.29501108134019394,0.0835214776657828,0.6277158054420441
Age_Diff,-0.027914048448507034,0.8032812205585309,0.17933882798359221,0.09029450737428867,-0.1820485663999295,0.11441655450458503
Exp_Interaction,0.08153819598603046,0.7260163332385812,-0.03183388218841382,0.8846505212326735,-0.23393928195732624,0.32807586080271095
