Variable,Beta_Rank_Std,P_Rank,Contrib_Rank,Beta_Judge,P_Judge,Contrib_Judge,Beta_Fan,P_Fan,Contrib_Fan,Impact_Score,N_Significant
Age,0.4177517317392527,0.000855328372308,0.11566903555567104,-0.5041248093894265,3.275682346837816e-06,0.16717323972654866,-0.1619173170488074,0.1646749657138932,0.0,0.2828422752822197,2
Log_Followers,-0.1563897703653237,0.0027655948747447,0.043301924407630504,0.3572757745118832,4.0747591574710553e-14,0.11847651134904869,0.0747427035851476,0.1323316079505106,0.0,0.1617784357566792,2
IDPI,-0.0348737870033651,0.8481490616818724,0.0,0.1245714173804704,0.4310213911613627,0.0,0.3288605279905523,0.0568606818022151,0.12875039265009902,0.12875039265009902,1
Log_Pop,0.0860046823720773,0.0877247351817649,0.02381337504415009,-0.0819091979190777,0.0571484947237745,0.027161976011693772,-0.0788832669446935,0.0925001109529763,0.030883157838096153,0.08185850889394002,3
Age_Diff,-0.0179730950761647,0.8841312822563498,0.0,0.1793388279835922,0.0902945073742886,0.05947069520163183,-0.1820485663999295,0.114416554504585,0.0,0.05947069520163183,1
Partner_Avg_Rank,0.1201543622690443,0.520142269407057,0.0,0.1656411717415285,0.2950110813401939,0.0,0.0835214776657828,0.6277158054420441,0.0,0.0,0
Exp_Interaction,-0.0736944929415052,0.7703601637488304,0.0,-0.0318338821884138,0.8846505212326735,0.0,-0.2339392819573262,0.3280758608027109,0.0,0.0,0
