Variable,Rank_Coef_Std,Rank_P_Value,Judge_Coef,Judge_P_Value,Fan_Coef,Fan_P_Value
Age,0.41775173173925273,0.000855328372308051,-0.5041248093894265,3.275682346837816e-06,-0.1619173170488074,0.1646749657138932
IDPI,-0.03487378700336513,0.8481490616818724,0.12457141738047044,0.43102139116136273,0.3288605279905523,0.05686068180221514
Log_Pop,0.08600468237207733,0.08772473518176498,-0.0819091979190777,0.05714849472377458,-0.07888326694469355,0.09250011095297635
Log_Followers,-0.15638977036532373,0.002765594874744741,0.3572757745118832,4.0747591574710553e-14,0.07474270358514765,0.1323316079505106
Partner_Avg_Rank,0.1201543622690443,0.520142269407057,0.16564117174152854,0.29501108134019394,0.0835214776657828,0.6277158054420441
Age_Diff,-0.017973095076164784,0.8841312822563498,0.17933882798359221,0.09029450737428867,-0.1820485663999295,0.11441655450458503
Exp_Interaction,-0.0736944929415052,0.7703601637488304,-0.03183388218841382,0.8846505212326735,-0.23393928195732624,0.32807586080271095
